Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
Good Casting,2020,65,7,"Action, Comedy, Crime       ",119
Island,2021,,,"Fantasy, Mystery      ",
X Man,2003,70,6.7,Game-Show      ,11
May Queen,2012,70,7.8,"Drama, Romance  ",41
Girls' Generation 1979,2017,60,7.4,"Drama, Romance  ",84
My Secret Hotel,2014,,6.6,"Comedy, Mystery, Romance      ",206
Sweet Munchies,2020,65,7.1,"Comedy, Drama, Romance  ",93
Can You Hear My Heart?,2011,65,7.6,"Comedy, Drama, Romance   ",196
Flowering Heart,2016,12,7.2,"Animation, Action, Adventure     ",48
User Not Found,2021,15,7.7,"Drama, Romance  ",76
Sunny Days,2018,30,8,"Drama, Romance      ",23
A Pledge to God,2018,,5.3,"Drama, Romance    ",34
Band of Brothers,2008,30,8,"Comedy, Music, Reality-TV   ",30
Rubeusutori in Habeodeu,2004,60,7.5,"Romance, Drama     ",279
Robot Trains,2017,14,6.4,"Animation, Action, Adventure",92
Somebody,2018,90,,"Reality-TV, Romance   ",
Swallow the Sun,2009,60,7.6,Drama      ,72
Falsify,2017,,7.1,"Drama, Thriller    ",114
I Need Romance,2011,45,7,"Comedy, Drama, Romance   ",285
Heart to Heart,2015,,7.3,"Comedy, Romance       ",174
Gaewa neukdaeui sigan,2007,60,8,Thriller      ,405
Gon,2012,25,6.6,Animation    ,84
Punch,2014,,7.7,"Drama, Romance, Thriller     ",97
Geimui yeowang,2006,60,7.4,Drama   ,48
Idol Star Athletics Championships,2010,,8.2,"Game-Show, Sport        ",12
Magi-Nation,2007,22,5.8,"Animation, Action, Adventure        ",138
Hyori's Homestay,2017,,8.7,Reality-TV      ,224
School,1999,,8.1,"Drama, Mystery       ",616
I am Sam,2007,63,6.8,Drama       ,46
Syowindo: Yeowangui Jib,2021,,7.7,"Drama, Mystery, Romance     ",59
Lies of Lies,2020,69,7.6,Drama         ,144
Standby,2012,,9.2,Comedy         ,58
Will It Snow at Christmas?,2009,60,6.9,"Drama, Romance        ",82
Arpo: The Robot for All Kids,2012,11,5.7,Animation       ,28
Jingkeuseuui Yeonin,2022,,7.5,"Comedy, Fantasy, Romance     ",10
A Time Called You,,,,"Drama, Fantasy, Romance    ",
Mary Stayed Out All Night,2010,65,6.8,"Comedy, Drama, Music       ",778
Kung Fu Dino Posse,2009,22,6,"Animation, Comedy        ",93
One Sunny Day,2014,14,7.6,Romance       ,78
Temptation of Wife,2008,,7.7,"Drama, Romance      ",77
Dr. Jin,2012,65,6.5,Fantasy     ,244
Monster Buster Club,2008,22,5.8,"Animation, Action, Family    ",205
Produce 101,2016,,7.7,"Music, Reality-TV         ",130
Stone Age,2017,,5.5,Animation       ,21
Twogether,2020,,8.4,Reality-TV    ,487
Local Hero,2016,65,7.3,"Crime, Thriller       ",100
Queen Insoo,2011,,8.1,"Drama, History      ",32
The King and I,2007,70,7.8,"Drama, History     ",29
My Dangerous Wife,2020,,8,"Crime, Mystery, Thriller   ",83
Valid Love,2014,,7.2,"Drama, Romance     ",69
The Great Show,2019,66,7.1,Drama        ,114
Your House Helper,2018,30,6.9,Drama     ,166
Legal High,2019,60,7.6,"Comedy, Drama       ",100
My Spring Days,2014,,7.4,"Drama, Romance     ",65
Vampire Flower,2014,12,5.6,"Drama, Fantasy, Romance    ",82
Hidden Identity,2015,,6.6,"Action, Thriller      ",123
Ms. Perfect,2017,,6.8,Drama     ,44
Mrs. Cop,2015,,8,Crime        ,103
Goodbye to Goodbye,2018,,7.7,"Drama, Romance      ",62
I jukilnomui sarang,2005,60,7.4,"Drama, Romance       ",459
Fashion King,2012,,5.8,Drama        ,244
Queen of Ambition,2013,,7.7,"Drama, Romance     ",119
Second Husband,2021,35,,"Drama, Family, Romance     ",
Infinite Challenge,2005,,8.6,Reality-TV           ,243
Roommate,2014,,7.5,Reality-TV     ,131
Black Knight,,,,"Action, Adventure, Sci-Fi    ",37
"Yeah, That's How It Is",2016,,8.5,Drama            ,37
Amazing Saturday,2018,,8.5,Game-Show   ,18
Idol: The Coup,2021,,8,"Drama, Music        ",84
Idol Dictation Contest,2021,,,Game-Show   ,
Brilliant Heritage,2020,30,7.9,"Comedy, Drama, Romance  ",16
The Merchant: Gaekju 2015,2015,,7.6,"Drama, History     ",43
Bravo My Life,2017,,7,Drama       ,11
The King of Dramas,2012,,7.6,"Comedy, Drama, Romance      ",109
Miracle That We Met,2018,60,7.9,Drama         ,124
Bubblegum,2015,,6.6,Romance  ,165
One Warm Word,2013,,7.1,"Drama, Romance       ",60
My Husband Oh Jak-doo,2018,70,6.7,"Drama, Romance     ",228
My Husband's Lover,2007,70,7.5,"Drama, Romance      ",10
The Great Merchant,2010,,6.7,"Drama, History     ",16
Jung Hae In's Travel Log,2019,,9.3,Reality-TV        ,37
Cain and Abel,2009,,7.5,"Action, Drama, Romance ",272
Kamen Rider Fourze,2011,25,7.5,"Action, Adventure, Comedy      ",400
Shin Don,2005,55,6.8,"Drama, History      ",6
Paik's Spirit,2021,,6.4,Talk-Show     ,70
Oh My Geum-Bi,2016,60,8.3,Drama        ,96
"Friend, Our Legend",2009,64,8.5,"Action, Crime, Drama     ",48
Times,2021,60,7.5,"Crime, Drama, Fantasy     ",104
New Journey to the West,2015,,8.6,Reality-TV      ,126
Kamen Rider Kiva,2008,30,7,"Action, Adventure, Drama    ",274
The Fugitive: Plan B,2010,,6.9,"Action, Comedy, Romance  ",275
"What's Wrong, Poong-Sang",2019,,7.2,Drama       ,53
Namgogoedam,2021,23,7.4,"Mystery, Thriller  ",8
New Heart,2007,,8.1,"Drama, Romance     ",66
12 Years Promise,2014,70,7.3,"Comedy, Drama, Romance   ",181
Buhwal,2005,70,8.6,"Crime, Drama, Mystery   ",86
Brain,2011,,8.2,"Drama, Romance      ",70
A Day Before Us,2018,,7.6,"Animation, Short, Drama  ",132
24/365 with Blackpink,2020,,8.9,Reality-TV        ,62
Mnet Asian Music Awards,1999,280,7.2,Music   ,17
God's Quiz,2010,,7.2,"Crime, Drama, Mystery    ",156
Working Mom,2008,,6.9,"Drama, Romance     ",9
Different Dreams,2019,,8,Drama       ,55
Vampire Prosecutor,2011,58,7.6,"Fantasy, Mystery, Thriller     ",239
Bernard,1998,3,6,"Animation, Comedy, Family    ",1120
Road No. 1,2010,,8,War      ,102
King Geunchogo,2010,,7.7,"Biography, Drama, History     ",44
Person Who Gives Happiness,2016,35,7.4,"Drama, Romance      ",11
Kingmaker: The Change of Destiny,2010,,7.6,"Drama, Fantasy, History     ",69
Shut Up Flower Boy Band,2012,45,7.9,"Drama, Music, Romance    ",526
Jejoongwon,2010,,8.4,"Drama, Romance     ",43
Z-Squad,2006,24,7.9,"Animation, Adventure, Family       ",20
Lovers in Bloom,2017,,7.9,"Comedy, Drama, Romance        ",20
Not Yet Thirty,2021,20,6.1,"Comedy, Romance ",83
Hangout with Yoo,2019,70,8.2,"Comedy, Reality-TV    ",7
Dating Agency: Cyrano,2013,,6.9,"Drama, Romance      ",214
Sponsor,2022,55,5.2,"Drama, Romance    ",22
Ugly Alert,2013,35,8.4,"Drama, Romance      ",53
Nonstop,2000,,8.2,"Comedy, Drama, Romance        ",57
Inspiring Generation,2014,,7.6,"Action, Crime, Drama       ",230
Oh! My Lady,2010,,6.9,Drama           ,228
Super Duper Sumos,2001,30,3.6,"Adventure, Animation, Action  ",618
Punch,2003,65,7.4,Drama    ,14
Jeong Do-jeon,2014,,8.4,"Action, Biography, History   ",49
Midas,2011,,7.3,Drama         ,120
Happy Sisters,2017,,7.7,"Drama, Romance ",8
Tazza,2008,,7.8,"Action, Drama, Romance     ",74
Empress Myeongseong,2001,,8.2,"Drama, History  ",13
Delayed Justice,2020,60,7.1,"Comedy, Drama    ",37
"My Daughter, Geum Sa-wol",2015,70,8,"Drama, Romance      ",29
Partner,2009,,7.1,"Drama, Romance      ",56
"Que Sera, Sera",2007,60,7.2,"Drama, Romance   ",85
Flames of Desire,2010,65,7.8,"Comedy, Drama, Romance      ",15
Vroomiz,20012,11,4.9,"Animation, Adventure, Family   ",29
Road to Kingdom,2020,90,7.8,"Music, Reality-TV       ",62
Unexpected Business,2021,,8.7,Reality-TV     ,47
Gu Am Heo Joon,2013,,7.8,Drama        ,21
Scripting Your Destiny,2021,,7.3,"Comedy, Fantasy, Romance    ",98
Madame Antoine,2016,,6.7,"Comedy, Romance     ",407
Kamen Rider Hibiki,2005,30,7.4,"Action, Adventure, Drama    ",222
Temptation,2014,,7.1,Drama       ,72
Beautiful Days,2001,60,8,Romance      ,93
The Man's Voice,2021,,6.3,"Comedy, Fantasy, Romance    ",28
Armored saurus,2021,,,Action    ,
Eccentric! Chef Moon,2020,,7.3,"Comedy, Drama, Romance   ",70
Cheongdam-dong Alice,2012,70,6.4,"Comedy, Drama, Romance   ",267
When I Woke Up I Became a Bagel Girl,2019,15,7.7,"Comedy, Drama, Mystery   ",6
Hur Jun,1999,,8.6,Drama  ,70
"Sangdo, Merchants of Joseon",2001,,8.3,"Drama, History, Romance ",62
Bad Papa,2018,35,7.3,"Drama, Family     ",123
My Beautiful Bride,2015,,7.4,"Drama, Mystery, Romance   ",88
Risky Romance,2018,,7.2,"Drama, Romance   ",84
Maids,2014,,7.3,"Drama, History, Romance    ",72
Cheonsangui hwawon,2011,,8.5,Drama   ,101
Special Affairs Team TEN,2011,,8,"Crime, Drama, Thriller    ",121
Robber,2008,,6.8,Romance        ,46
Late Night Restaurant,2015,,7.8,Drama        ,90
Phoenix 2020,2020,,,"Drama, Romance       ",
The Lover,2015,,7.3,"<span class=""genre"">
Drama, Romance            </span>",161
Hoo-yoo-jeung,2014,,6.3,"Action, Drama, Thriller       ",46
Hieoro,2009,60,6.5,"Comedy, Drama    ",145
Home for Summer,2019,,7.1,"Drama, Romance       ",10
Cross,2018,,7.3,Drama    ,93
Seoul 1945,2006,,6.9,Drama            ,8
Cinderella's Sister,2010,65,6.8,Drama            ,276
Kamen Rider Drive,2014,24,7.5,"Action, Adventure, Comedy            ",290
Ice Adonis,2012,,8,Drama        ,20
Memory,2016,,8.1,Drama        ,75
BTS Gayo,2015,,9.3,Game-Show         ,383
Splendid Politics,2015,,7.7,"Drama, Romance   ",107
Fix and Foxi,2000,30,6.6,Animation       ,49
Babel,109,,6.6,"Drama, Mystery       ",54
Sharp,2003,,8.7,Drama       ,18
The Thorn Birds,2011,,7.1,"Drama, Romance          ",25
How to Buy a Friend,2020,,7.2,Drama    ,42
Royal Family,2011,,7.9,"Drama, Romance     ",47
My Son-In-Law's Woman,2016,40,7.3,"Drama, Romance     ",12
Sandglass,1995,70,8.7,Drama       ,43
Jessica & Krystal,2014,,8.3,Reality-TV          ,74
Summer Guys,2021,,7.9,Romance      ,41
"Persevere, Goo Hae-Ra",2015,70,7.3,"Music, Romance   ",51
Jang Geum's Dream,2005,30,8.2,"Animation, Adventure, Comedy      ",98
More Charming by the Day,2010,,9.6,"Comedy, Family, Romance    ",5
Idol × Warrior: Miracle Tunes!,2017,24,6.9,Fantasy   ,18
Andante,2017,60,6.7,"Comedy, Drama, Romance      ",225
All About My Mom,2015,,7.9,"Drama, Romance     ",51
Pegasus Market,2019,75,8.1,"Comedy, Drama       ",84
JYP's Party People,2017,70,,"Music, Talk-Show        ",
You Quiz on the Block,2018,,,Talk-Show          ,
Big Man,2014,60,7.3,Romance          ,91
Secret Boutique,2019,,7.1,Drama           ,36
Matching! Boys Archery,2016,17,7.6,"Comedy, Romance, Sport     ",14
The Devil,2007,70,8,"Drama, Mystery, Thriller       ",137
Sweet Enemy,2017,,9,Drama         ,6
Dae Wang Sejong,2008,,7.9,"Drama, History        ",28
Insectibles,2015,,8.1,Animation       ,40
I Picked Up a Star on the Road,2018,,6.8,"Drama, Romance      ",208
Dibo the Gift Dragon,2006,,6.2,Animation          ,20
Dream,2009,,5.6,"Drama, Romance      ",17
Friends,2002,50,7.8,"Drama, Romance    ",210
Crime Squad,2011,,7.2,"Action, Crime, Drama      ",63
Page Turner,2016,,7.8,"Drama, Music      ",592
Secret Mother,2018,35,8.1,"Drama, Mystery       ",36
Blazing Team: Masters of Yo Kwon Do,2015,,6,Animation           ,30
Teacher Oh Soon-Nam,2017,,,Drama     ,
A Thousand Days' Promise,2011,,8.3,"Drama, Romance      ",89
Lovely Horribly,2018,35,6.4,"Comedy, Drama, Horror    ",302
Love Letter,2003,60,7.2,Drama       ,51
Bachelor's Vegetable Store,2011,,7.7,Drama    ,83
Cinderella Man,2009,,6.7,Drama       ,98
Korea's Next Top Model,2010,,,Reality-TV      ,
Doctor Detective,2019,,7,"Drama, Thriller      ",25
"Take Care of Us, Captain",2012,60,7.4,"Comedy, Drama, Romance       ",88
The Glory,,,,Drama           ,
Zack and Quack,2012,,7.2,"Animation, Adventure, Family      ",88
Big Issue,2019,,7.7,Drama        ,68
The Wind Blows,2019,,7.8,Drama,51
In Seoul,2019,15,7.2,"Drama, Romance       ",6
Delicious Proposal,2001,54,7.1,Drama       ,32
20th Century Boy and Girl,2017,,7.1,"Comedy, Romance   ",126
My Healing Love,2018,,8.6,"Drama, Romance     ",12
"Me Too, Flower!",2011,,6.9,"Comedy, Romance       ",158
Hundred Year Inheritance,2013,,7.6,"Drama, Romance      ",36
Ruby Ring,2013,30,7.5,"Drama, Romance   ",13
The Airport Diary,2012,,7.3,Animation    ,15
Wonderful Life,2005,,6.9,"Comedy, Romance       ",114
Ex-Girlfriend Club,2015,,6.6,"Comedy, Romance ",219
Doll House,2014,,,Horror       ,
Your Lady,2013,,,"Drama, Romance",
It's My Life,2018,,7,"Drama, Family",6
Temptation of an Angel,2009,,7.1,Drama          ,41
Wanted,2016,60,7.1,"Drama, Thriller      ",79
Youth Recipe,2021,25,7.5,Drama       ,14
The Road: Tragedy of One,2021,70,6.2,"Mystery, Thriller       ",52
Little Women,2022,,,Drama            ,
Arata the Legend,2013,24,6.6,Animation        ,119
Beautiful My Lady,1997,,8.2,"Drama, Romance      ",12
Pied Piper,2016,,7.4,Thriller       ,61
Avengers Social Club,2017,60,8.1,"Comedy, Drama     ",198
Spark,2016,14,7,Drama          ,64
Here Comes Mr. Oh,2012,40,,"Drama, Romance     ",
Coffee Friends,2019,85,8.7,Reality-TV        ,46
Eveui modeun geot,2000,50,7.9,"Drama, Romance     ",172
Eeo siti,2007,60,6.7,"Action, Drama, Romance     ",34
Happy Together,2001,95,7.5,"Comedy, Talk-Show        ",34
Bicheonmu,2008,50,7.4,Drama       ,31
Talking Tom and Friends Minis,2015,4,8.8,"Animation, Action, Comedy      ",12
Strongest Chil Woo,2008,,7,"Action, Drama, History",40
Meloholic,2017,60,6.5,"Drama, Mystery, Romance    ",187
You and I,1997,,8.9,"Drama, Romance    ",8
Lady President,2010,,7.6,Drama      ,36
Empire of Gold,2013,65,7.9,"Drama, Romance, Thriller ",47
Return,2018,35,7.3,"Drama, Mystery, Thriller        ",79
Paris ei yeonin,2004,60,7.3,"Comedy, Drama, Romance  ",140
Let Me Introduce Her,2018,,7.3,Drama            ,62
Legend Heroes,2016,30,7.6,"Action, Adventure, Drama        ",10
Shining Days,2004,60,6.1,"Drama, Romance         ",20
A Place in the Sun,2019,,7.2,"Drama, Romance        ",13
The Beet Party,2012,2,7,Animation       ,18
Medical Top Team,2013,,6.4,"Drama, Romance         ",103
8 Love Stories,1999,,,"Drama, Romance          ",
K-Pop the Ultimate Audition,2012,60,6.8,"Comedy, Drama, Music           ",228
Cloud Bread,2010,,7.1,"Animation, Comedy, Family     ",17
Glory Jane,2011,,7.3,"Drama, Romance    ",52
Keopi Hanjan Halkkayo?,2021,,8.1,Drama         ,36
"Oh, the Mysterious",2017,30,6.7,"Comedy, Drama        ",78
Thumping Spike,2016,,6.7,"Drama, Sport         ",84
Twinkle Twinkle,2011,70,7.8,"Drama, Romance         ",26
Golden Cross,2014,,7.2,Drama           ,43
Yoo-Na's Street,2014,57,8.3,"Comedy, Drama, Romance       ",35
Divorce Lawyer in Love,2015,,6.8,"Comedy, Romance     ",110
Girl's High School Mystery Class,2021,40,8.4,Game-Show        ,25
First Love,1997,65,7.8,"Drama, Romance    ",52
Growing Season,2020,,7.7,Romance        ,26
Left-Handed Wife,2019,,6.3,"Drama, Romance      ",18
Family Outing,2008,80,8.7,Game-Show         ,177
On the Way to the Airport,2016,70,7.3,"Drama, Romance       ",151
First Love Again,2016,,8,"Drama, Romance  ",11
La Dolce Vita,2008,60,6.4,Romance   ,32
Radio Star,2007,80,8,Talk-Show     ,5
Attic Cat,2003,60,8,Romance  ,127
Drinking Solo,2016,62,6.8,"Comedy, Romance    ",237
Evasive Inquiry Agency,2007,,7.9,Comedy       ,29
We Are Dating Now,2002,,7.2,"Drama, Romance    ",33
Let's Go Dream Team,2009,70,,Reality-TV      ,
Golden Time,2012,,7.9,Comedy  ,92
Fermentation Family,2011,,8,"Drama, Romance     ",68
Switch: Change the World,2018,35,7.4,Drama      ,211
Bigfoot Littlefoot,2019,22,,Animation     ,
Broke Rookie Star,2022,18,6.4,Music      ,12
The Stars Are Shining,2015,40,9.1,Drama       ,8
Super Family,2017,,8.2,Comedy       ,11
Girls' Generation and the Dangerous Boys,2011,,8.4,Reality-TV    ,29
Two Women's Room,2013,,,"Drama, Romance   ",
Miss Ripley,2011,65,6.5,"Crime, Romance     ",88
Mr. Baek,2014,,6.7,"Comedy, Fantasy, Romance          ",84
Baby Faced Beauty,2011,,6.7,"Comedy, Romance         ",110
Fluttering Warning,2018,60,6.9,Romance     ,83
Dreamkix,2010,22,8.1,"Animation, Comedy, Sport          ",28
"Ninja Cat, Ichi Ni San!",2013,,,Animation      ,
Irene's Work & Holiday,2022,,9.8,Reality-TV          ,49
"Gwishinboneun hyungsa, Cheo Yong",2014,75,7.2,"Crime, Fantasy, Mystery         ",201
Please Take Care of My Refrigerator,2014,,8.2,Family       ,
Little Mom Scandal,2008,55,,"Comedy, Drama    ",
Just Dance,2018,35,7.2,Drama           ,45
Mix Master,2006,,8.2,Animation  ,37
The Sons of Sol Pharmacy House,2009,,7.9,"Comedy, Drama, Romance ",33
Secrets and Lies,2018,,6.4,"Drama, Romance  ",6
Taejo Wang Geon,2000,,8.4,Drama      ,18
A Thousand Kisses,2011,70,7.4,"Drama, Romance     ",26
Lovers,2006,70,8.1,"Drama, Romance       ",19
Model,1997,50,7.2,Drama     ,43
Wi-poong-dang-dang Geu-nyeo,2003,60,7.8,"Comedy, Romance    ",26
Twelve Nights,2018,,6.5,Drama           ,53
Chip In,2020,60,7.4,"Comedy, Crime, Drama   ",64
Goodbye Earth,,,,"Drama, Sci-Fi, Thriller      ",
Goong s,2007,60,6.1,"Comedy, Drama, Romance   ",68
Night After Night,2008,70,7.3,"Action, Adventure, Comedy     ",29
Abnormal Summit,2014,,7.5,"Game-Show, Talk-Show       ",34
Assembly,2015,65,7,Drama        ,32
G-Fighters,2015,,8.7,Comedy       ,7
"Breakup Probation, A Week",2020,,7,"Drama, Fantasy, Romance     ",15
Star's Lover,2008,,6.7,"Drama, Romance        ",26
Love & Wish,2021,,6.5,"Drama, Romance   ",18
Spy Myung-wol,2011,,6.9,"Comedy, Romance      ",129
Marry Him If You Dare,2013,,6,"Comedy, Fantasy, Romance    ",234
The Return of Hwang Geum-Bok,2015,,7.9,"Drama, Romance       ",11
A Nation of Broth,2022,,,Documentary      ,
Trans-Siberian Pathfinders,2019,,8.6,"Adventure, Comedy, Reality-TV       ",35
7th Grade Civil Servant,2013,65,6.3,"Action, Romance      ",145
Super TV,2018,63,8.5,Reality-TV      ,50
"It's Alright, Daddy's Daughter",2010,55,7.1,Romance       ,27
Healing Camp,2011,,,Talk-Show         ,
Omniscient Interfering View,2018,85,,"Comedy, Family, Reality-TV      ",
Music Bank,1998,,7.7,Music      ,10
Joseon Survival,2019,,6.6,"Drama, Fantasy, Romance        ",26
Doctor Frost,2014,,7.2,Crime       ,99
Should We Kiss First,2018,,7.3,"Drama, Romance      ",65
Rookie King: Channel Bangtan,2013,,8.6,Reality-TV       ,100
Detectives of Seonam Girls High School,2014,,7.4,Drama      ,86
Neighborhood Lawyer Jo Deul-ho,2016,60,7.2,Drama   ,72
Little Girl K,2011,,7.2,"Action, Crime, Thriller        ",110
My Life's Golden Age,2008,,,"Drama, Romance    ",
After School Club,2013,52,7.7,Talk-Show    ,29
Creating Destiny,2009,,6.8,"Drama, Romance   ",80
I Can See Your Voice,2015,,6.9,Musical     ,24
Queen of the Scene,,,,Drama    ,
Linus & Boom,2009,22,6.8,"Animation, Sci-Fi     ",48
Boarding House Number 24,2014,45,6.2,Drama    ,28
Manhole: Feel So Good,2017,60,6.2,"Comedy, Drama, Fantasy      ",119
Special Labor Inspector Jo,2019,,7.5,"Comedy, Drama       ",47
Ojakgyo Brothers,2011,,8.1,"Comedy, Drama, Romance    ",105
To Be World Klass,2019,,,Reality-TV        ,
Soul,2009,60,7.5,"Drama, Horror, Mystery     ",56
I Need Romance 2012,2012,45,7.2,"Comedy, Romance       ",98
SSIN,2016,,,,
Go! Mrs. Go!,2011,70,8.1,"Comedy, Drama, Romance      ",32
The Legendary Witch,2014,55,7.6,"Drama, Romance     ",41
Blow Breeze,2016,,7.4,"Drama, Romance        ",30
H.I.T.,2007,57,7.4,Romance        ,17
Miss Panda & Hedgehog/Pan-da-yang-gwa Go-seum-do-chi,2012,60,6.3,Comedy         ,264
The Blade and Petal,2013,70,7.1,"Drama, Romance  ",37
Star King,2007,,6.7,Game-Show          ,6
Jeon Woo Chi,2012,,6.4,"Action, Comedy, Fantasy     ",43
All My Love,2010,,7.2,Comedy      ,9
Thousand Years of Love,2003,,5.9,Romance           ,33
I'm Sam,2007,65,6.3,Comedy         ,113
Women of the Sun,2008,,7.7,Romance       ,13
Pretty Rhythm Aurora Dream,2011,30,8.1,Animation      ,24
Radiant Office,2017,65,7,"Comedy, Drama, Romance   ",204
The Queen of Office,2013,,7.6,"Comedy, Romance    ",59
Tamagotchi!,2009,,8.7,"Animation, Comedy      ",46
Lovers in Prague,2005,40,7.5,Romance       ,64
The Musical,2011,60,6,"Drama, Music, Romance  ",31
Haeundae Lovers,2012,,5.8,"Comedy, Romance    ",67
My Unfortunate Boyfriend,2015,,6.1,"Comedy, Romance      ",64
Samba et Leuk le lièvre,1997,26,8.7,"Animation, Family       ",44
We Play,2019,70,,Game-Show           ,
Korean Peninsula,2012,60,7.1,Drama         ,32
The Man Who Can't Get Married,2009,,7.1,"Comedy, Drama, Romance   ",120
Poseidon,2011,,5.5,"Action, Drama, Romance       ",38
Law Firm,2001,60,,"Drama, Romance     ",
My Little Baby,2016,,6.3,"Comedy, Drama      ",117
Go! Princess PreCure,2015,,8,"Animation, Action, Adventure    ",57
Our Gap-soon,2016,,6.7,"Comedy, Drama, Romance          ",45
Tong: Memories,2016,10,8,Drama        ,60
Rascal Sons,2012,,7.1,"Comedy, Drama   ",14
Golden Disc Awards,1986,350,8.8,Music       ,15
A New Leaf,2014,,6.2,"Drama, Romance    ",82
Stars Falling from the Sky,2010,65,7,"Drama, Romance     ",114
Master Key,2017,,7.7,Game-Show      ,28
The Queen's Classroom,2013,,7.8,"Comedy, Drama     ",80
Aillaendeu,2004,60,7.4,Drama            ,55
Spotlight,2008,60,7.5,Drama     ,26
Armored Saurus,2021,,,Action         ,
6 Persons Room,2014,,7.1,Drama         ,9
Magic Warriors Mir and Gaon,2005,,,"Adventure, Fantasy         ",
April Kiss,2004,,,Drama        ,
Super Zach,2018,,8.3,"Animation, Action, Adventure     ",14
Love to the End,2018,,7.1,"Drama, Family, Romance          ",15
The Birth of a Family,2012,,8.8,"Drama, Romance          ",9
The Reputable Family,2010,60,,Drama          ,
Naegwa Park Won-jang,2022,40,5.9,Comedy       ,17
"Sangdoo, Let's Go to School!",2003,60,7.7,"Comedy, Drama, Romance           ",155
Bluebird's House,2015,60,7,"Comedy, Drama, Romance       ",37
Sanaematsun,2022,,,,
Eunhui,2013,,,"Drama, Romance       ",
Let's Eat Dinner Together,2016,100,7.6,Reality-TV         ,30
Unemployed Romance,2013,,6.6,"Comedy, Romance        ",43
The Woman Who Married Three Times,2013,,6.7,Romance      ,27
Land of Wine,2003,,,Drama           ,
Hidden Singer,2012,70,6.5,Game-Show,16
The Full Sun,2014,,7.4,"Drama, Romance         ",78
Love twist,2021,40,,Drama      ,
Loving You a Thousand Times,2009,65,7.6,"Drama, Romance    ",27
Scandal,2013,,7.6,"Drama, Romance, Thriller        ",26
City Hall,2009,62,7.7,"Comedy, Drama, Romance   ",190
Telecinema,2009,,7.7,Drama        ,26
Spy,2015,,6.4,"Action, Romance, Thriller            ",56
Who Are You?,2008,60,7.4,"Comedy, Drama       ",46
Jungle Fish 1,2008,55,8.3,,21
Jingbirok,2015,,6.6,"Drama, History, War      ",10
Unknown Woman,2017,,2.7,Drama       ,46
What's Up?,2011,50,8,"Comedy, Drama, Music    ",47
I Am Legend,2010,,6,"Drama, Music, Romance     ",18
Boing the Play Ranger,2013,,8,Animation     ,10
Shik-gaek,2008,65,8.2,"Drama, Romance     ",60
Feast of the Gods,2012,,7.4,"Comedy, Drama, Romance   ",38
Super Daddy Yeol,2015,,7.4,"Comedy, Drama, Romance     ",56
Real GOT7,2014,,8.1,Reality-TV       ,61
A Prince's First Love,2004,60,6.2,Drama      ,57
Blood Palace,2013,,7.6,"Drama, History, Romance    ",36
Vary Peri,2012,,,,
Byeoljubu hero,2001,,5,"Animation, Family      ",32
Tomorrow Victory,2015,,8,"Drama, Romance    ",11
Tomorrow Boy,2016,16,5.8,"Drama, Family, Romance         ",11
Bolts & Blip,2010,,7.4,"Animation, Family, Sci-Fi    ",70
Make a Wish,2014,,,"Drama, Romance   ",
Jeonwoo,2010,,8.2,"History, War    ",50
Four Men,,,,"Mystery, Romance  ",
MONSTA X-Ray,2017,50,8.4,Reality-TV      ,35
Aja aja tayo,2018,,,"Game-Show, Reality-TV      ",
Scent of Love,2003,,,Romance          ,
Crazy Recipe Adventure,2020,,,"Comedy, Game-Show, Reality-TV          ",
Olympus Guardian,2002,,7.8,Animation     ,22
Crime Scene,2014,,7.7,Game-Show   ,28
Ad Genius Lee Tae Baek,2013,,6,"Comedy, Drama, Romance   ",37
Summer Days,2008,5,,"Comedy, Romance   ",
Tomorrow Love,1992,,,Romance      ,
Top Star Yoo Baek,2018,,7.6,"Comedy, Romance   ",75
Here Comes Love,2016,,,"Drama, Romance ",
Incarnation of Money,2013,,7.8,"Comedy, Drama, Mystery     ",65
Kang Koo's Story,2014,127,7.7,Romance,23
Nang rang 18 seh,2004,63,6.9,"Comedy, Romance    ",172
Amoreupati,2021,35,4.8,"Drama, Romance    ",9
Hatchimals,2017,,7.9,Animation      ,11
Running Girls,2020,60,8.2,"Reality-TV, Sport      ",9
The Law Cafe,2022,,,Romance     ,
Vampire Idol,2011,,6.9,Comedy  ,28
Pop Out Boy!,2020,,7,"Comedy, Drama, Fantasy      ",30
Roebisute,2007,60,7,Thriller     ,50
Heart Signal,2017,,6.4,Reality-TV ,8
Lunch Box,2015,8,7.3,"Drama, Romance         ",11
Noblewoman,2014,,7,"Drama, Romance      ",7
Scan2Go,2012,,5.9,"Animation, Action, Adventure      ",39
Hwangholhan Yiwoot: Enchanting Neighbor,2015,,9.3,"Drama, Romance          ",8
Game Development Girls,2016,7,7.2,"Comedy, Drama, Romance   ",17
Sign,2011,60,7.8,"Crime, Mystery, Thriller    ",68
One Mom and Three Dads,2008,,7.2,Romance         ,61
"Sweet Home, Sweet Honey",2015,35,,Drama       ,
Criminal Justice,,,,"Crime, Drama    ",
Home Sweet Home,2010,65,7.1,"Drama, Mystery, Romance   ",14
Love in Spring,2022,30,6.5,"Drama, Romance       ",10
Bride from Vietnam,2007,65,7.6,"Drama, Romance    ",17
Iron Lady Cha,2015,,,"Comedy, Drama, Family      ",
