Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
Bulgasal,2021,60,7.3,"Drama, Fantasy, Thriller            ",2204
Love in the Moonlight,2016,60,7.8,"Comedy, Drama, History            ",3103
I'm Not a Robot,2017,35,8,"Comedy, Romance, Sci-Fi            ",5349
Beauty Inside,2018,70,7.6,"Drama, Fantasy, Romance            ",2069
Soundtrack #1,2022,44,7.8,"Drama, Music, Romance            ",1289
My ID Is Gangnam Beauty,2018,60,7.4,"Comedy, Romance            ",4124
Pinocchio,2014,59,8.1,"Drama, Mystery, Romance            ",7178
Dali and the Cocky Prince,2021,70,8.1,"Comedy, Drama, Romance            ",854
Abyss,2019,60,7.1,"Crime, Fantasy, Romance            ",2386
OK K.O.! Let's Be Heroes,2017,11,6.6,"Animation, Short, Action            ",3062
The Good Detective,2020,60,7.5,"Action, Drama, Mystery            ",803
Voice,2017,60,7.6,"Action, Crime, Mystery            ",2050
Rookie Historian Goo Hae-Ryung,2019,35,8.1,"Comedy, Drama, History            ",2108
Cunning Single Lady,2014,55,7.5,"Comedy, Romance            ",931
Uncontrollably Fond,2016,60,7.8,"Comedy, Drama, Romance            ",2973
Doctor Lawyer,2022,,7.2,"Drama, Thriller            ",306
Good Doctor,2013,65,8,"Drama, Romance            ",1905
One Ordinary Day,2021,60,8.2,"Crime, Mystery            ",2401
SKY Castle,2018,75,8.6,"Drama, Mystery            ",3102
Hell Is Other People,2019,60,7.8,"Crime, Horror, Mystery            ",4762
Bad and Crazy,2021,70,8,"Action, Comedy, Crime            ",1890
Insider,2022,,7.4,"Action, Drama, Thriller            ",174
The Accidental Narco,2022,50,,"Action, Biography, Crime            ",
Mine,2021,70,7.7,"Drama, Mystery            ",1226
Running Man,2010,80,9.1,"Comedy, Game-Show, Reality-TV            ",3136
Record of Youth,2020,70,7.2,"Drama, Romance            ",2455
Lovers of the Red Sky,2021,70,7.6,"Drama, Fantasy, History            ",921
"Poong, the Joseon Psychiatrist",2022,60,8.1,"History, Comedy, Romance            ",33
The Empress Ki,2013,,8.4,"Action, Drama, History            ",2746
So I Married My Anti-Fan,2021,62,7.3,"Comedy, Music, Romance            ",1367
Dream High,2011,70,7.6,"Comedy, Music, Romance            ",2977
Lawless Lawyer,2018,60,7.6,"Action, Drama, Thriller            ",1849
18 Again,2020,70,8.2,"Comedy, Drama, Fantasy            ",1861
Clean with Passion for Now,2017,70,6.9,"Comedy, Romance            ",1521
Again My Life,2022,,7.9,"Drama, Fantasy            ",863
Youth of May,2021,65,8.4,"Drama, History, Romance            ",1261
Ailiseu,2009,60,7.7,"Action, Mystery, Romance            ",2052
Kiss Sixth Sense,2022,,7.4,"Comedy, Romance            ",289
My Secret Romance,2017,47,7.1,"Comedy, Romance            ",3480
"Kill Me, Heal Me",2015,60,8.3,"Comedy, Drama, Romance            ",5032
Melting Me Softly,2019,70,6.8,"Comedy, Drama, Mystery            ",1455
The Fiery Priest,2019,35,8.2,"Action, Comedy, Crime            ",916
Police University,2021,65,7.3,"Comedy, Drama, Romance            ",636
100 Days My Prince,2018,75,7.7,"Action, Comedy, History            ",2199
She Was Pretty,2015,60,7.6,"Comedy, Romance            ",4981
